"query","search interest","increase percent"
"t-shirt homme",100,"-6%"
"t shirt",75,"-4%"
"t-shirt femme",68,"-10%"
"un t-shirt",47,"20%"
"t-shirt blanc",44,"10%"
"nike",39,"-2%"
"nike t-shirt",39,"-1%"
"t-shirt nike",39,"-5%"
"t-shirt noir",35,"0%"
"t-shirt rose",27,"10%"
"short",27,"20%"
"tee shirt",23,"-30%"
"t-shirt personnalisé",20,"-10%"
"t shirt homme",19,"-20%"
"under armour",18,"-10%"
"under armour t-shirt",18,"-20%"
"t-shirt under armour",18,"-20%"
"tshirt",17,"-20%"
"t-shirt paris",16,"-4%"
"pull",15,"-9%"
"t-shirt manches longues",14,"20%"
"t-shirt manche longue",13,"0%"
"t-shirt running",13,"50%"
"adidas",12,"2%"
"t-shirt adidas",12,"2%"
"t-shirt foot",12,"-4%"
"lacoste",11,"-10%"
"t-shirt lacoste",11,"-10%"
"pantalon",11,"10%"
"t-shirt rouge",10,"2%"
"casablanca t-shirt",10,"10%"
"casablanca",10,"10%"
"t-shirt casablanca",10,"10%"
"t-shirt oversize",9,"7%"
"ralph lauren",9,"-9%"
"t-shirt ralph lauren",9,"-10%"
"t-shirt nike homme",8,"-10%"
"t-shirt miami",8,"250%"
"t-shirt blanc homme",8,"-2%"
"t-shirt the kooples",8,"-10%"
"running nike",8,"60%"
"t-shirt nike running",8,"60%"
"the kooples",8,"-10%"
"t-shirt de foot",7,"4%"
"t-shirt jaune",7,"10%"
"t-shirt psg",7,"150%"
"uniqlo",7,"10%"
"t-shirt jul",6,"70%"
"casquette",6,"20%"
"t shirt nike",6,"-9%"
